dataset,model,category,mrr,hits1,hits3,hits10,train_time_sec,inference_time_sec,params,peak_mem_mb,epochs
UMLS,TransE,Classical,0.602034866809845,0.4531489908695221,0.7173579335212708,0.8325653076171875,44.02,0.06,17400,281.1,300
UMLS,DistMult,Classical,0.6868478059768677,0.5898617506027222,0.7357910871505737,0.8771121501922607,40.89,0.07,17400,287.9,300
UMLS,ComplEx,Classical,0.8892754912376404,0.8141320943832397,0.9562212228775024,0.9823348522186279,87.54,0.07,34800,309.6,300
UMLS,Tensor-CP,Tensor,0.9174680709838867,0.8463901877403259,0.9861751198768616,0.9946236610412598,52.7,0.05,34800,273.7,200
UMLS,Tensor-Tucker,Tensor,0.9200142025947571,0.8509984612464905,0.9884792566299438,0.996927797794342,226.45,0.07,517800,301.1,200
UMLS,GNN,GNN,0.7528852224349976,0.6520737409591675,0.8294931054115295,0.9124423861503601,124.17,0.08,86272,307.2,150
UMLS,LP-BERT,Transformer,0.9296627640724182,0.8786482214927673,0.9769585132598877,0.9953917264938354,466.67,0.09,309766,297.0,150
FB15K,TransE,Classical,0.21208328008651733,0.13536670804023743,0.24157188832759857,0.35174325108528137,265.36,24.67,1538600,1238.7,30
FB15K,DistMult,Classical,0.3620445430278778,0.23369039595127106,0.42196476459503174,0.613959550857544,274.58,22.27,1538600,1242.4,30
FB15K,ComplEx,Classical,0.4839886724948883,0.34979405999183655,0.5587806701660156,0.7401057481765747,880.81,30.18,3077200,1231.3,30
FB15K,Tensor-CP,Tensor,0.382709801197052,0.2892337143421173,0.4249733090400696,0.5564246773719788,608.65,19.52,3077200,943.6,10
FB15K,Tensor-Tucker,Tensor,0.4493950307369232,0.33946338295936584,0.5082374215126038,0.651646614074707,796.83,21.79,2039000,985.6,10
FB15K,GNN,GNN,0.14055654406547546,0.07753521203994751,0.1497737318277359,0.26382651925086975,5192.81,21.78,1091360,1782.7,12
FB15K,LP-BERT,Transformer,0.36518627405166626,0.26738590002059937,0.40771031379699707,0.5517042875289917,920.38,29.48,2397209,965.0,8
DB15K,TransE,Classical,0.162873312830925,0.0856667086482048,0.19662021100521088,0.31361785531044006,145.04,3.82,1018800,472.7,80
DB15K,DistMult,Classical,0.16961036622524261,0.10657456517219543,0.19230294227600098,0.2875292897224426,130.65,4.01,1018800,474.2,80
DB15K,ComplEx,Classical,0.20739352703094482,0.1447514444589615,0.23368693888187408,0.3242259919643402,428.87,5.89,2037600,504.9,80
DB15K,Tensor-CP,Tensor,0.2617025375366211,0.19384482502937317,0.28796103596687317,0.39410385489463806,233.66,2.95,2037600,461.9,15
DB15K,Tensor-Tucker,Tensor,0.3553594946861267,0.2777846157550812,0.3912051320075989,0.5046256184577942,331.42,3.29,1519200,498.6,15
DB15K,GNN,GNN,0.06751410663127899,0.024176636710762978,0.065498948097229,0.15949179232120514,1995.56,3.36,731680,738.9,25
DB15K,LP-BERT,Transformer,0.31065845489501953,0.23103490471839905,0.3427901864051819,0.469655841588974,520.51,3.75,1619479,513.6,12
